symbol,side,entry,exit,pnl,reason,time
AVAX/USDT,SHORT,23.3255,22.449025719269976,8.511556472533105,TP2_5%,2024-09-01 02:15:00
TIA/USDT,SHORT,4.5087,4.5087,-1.6682003884410006,BE_STOP,2024-09-01 04:30:00
STX/USDT,SHORT,1.49045,1.4710586727323038,36.31586049453895,TP1_80%,2024-09-01 16:00:00
WIF/USDT,SHORT,1.48705,1.457365472649929,31.390794151689686,TP1_80%,2024-09-01 22:00:00
AVAX/USDT,SHORT,23.3255,21.57255143853995,52.5878231859629,TP3_FULL,2024-09-01 22:15:00
STX/USDT,SHORT,1.49045,1.433891962135886,7.409370525474751,TP2_5%,2024-09-01 22:30:00
WIF/USDT,SHORT,1.48705,1.4004701285622927,6.14051603462673,TP2_5%,2024-09-01 22:45:00
WIF/USDT,SHORT,1.48705,1.457365472649929,5.853042402080732,BE_STOP,2024-09-02 10:00:00
STX/USDT,SHORT,1.49045,1.4710586727323038,6.685682519153531,BE_STOP,2024-09-02 10:15:00
WIF/USDT,SHORT,1.48705,1.458575598760119,81.89538870419813,TP1_80%,2024-09-02 13:30:00
WIF/USDT,SHORT,1.48705,1.48705,-2.385201301554288,BE_STOP,2024-09-02 14:30:00
XRP/USDT,SHORT,0.5801000000000001,0.5720385504288013,1.1430008624708534,BE_STOP,2024-09-03 02:00:00
LTC/USDT,LONG,65.16499999999999,66.26182149016992,82.56430706913329,TP1_80%,2024-09-05 22:00:00
LTC/USDT,LONG,65.16499999999999,65.16499999999999,-3.086071604552635,BE_STOP,2024-09-06 07:15:00
WIF/USDT,SHORT,1.5138500000000001,1.4724865433717456,112.17681680420485,TP1_80%,2024-09-07 17:45:00
WIF/USDT,SHORT,1.5138500000000001,1.5138500000000001,-2.676114608503391,BE_STOP,2024-09-08 07:15:00
STX/USDT,LONG,1.55675,1.5358276072797565,-121.59479083452746,STOP_LOSS,2024-09-11 05:15:00
STX/USDT,LONG,1.57525,1.6252168509559286,90.50867531207635,TP1_80%,2024-09-12 08:30:00
NEAR/USDT,LONG,4.1850000000000005,4.121099975258687,-118.30129923114914,STOP_LOSS,2024-09-13 12:15:00
DOGE/USDT,LONG,0.10529,0.10718279488067937,85.1901507938101,TP1_80%,2024-09-13 20:30:00
DOGE/USDT,LONG,0.10529,0.10529,-2.802484894274774,BE_STOP,2024-09-14 11:00:00
STX/USDT,LONG,1.57525,1.57525,-2.3706799518475306,BE_STOP,2024-09-15 17:15:00
SUI/USDT,LONG,1.08145,1.062748041631757,-114.98890349609268,STOP_LOSS,2024-09-16 01:45:00
SUI/USDT,LONG,1.08145,1.0627776326589764,-109.88006788673789,STOP_LOSS,2024-09-16 02:45:00
NEAR/USDT,LONG,4.3205,4.422648378994165,103.3279525228047,TP1_80%,2024-09-20 14:15:00
